loc_rowid,pl_orbsmax,pl_rade,st_rad,st_lum
13565,0.0526,1.73,0.53,-1.21
13577,0.2254,1.97,0.53,-1.21
14044,0.546,2.91,0.7,-0.652
14105,0.05511,1.715,1.12,0.004
14114,0.1192,3.76,1.12,0.004
14174,0.6421,2.23,0.92,-0.171
14486,0.745,1.6,0.83,-0.114
14653,0.1654,1.6,0.38,-1.638
14657,0.4706,2.17,0.69,-0.636
14665,2.026,9.18,1.18,0.09
14808,0.04825,1.718,0.75,-0.539
14813,0.0483,1.615,0.73,-0.57
14823,0.0684,1.548,0.73,-0.57
14829,0.0684,1.674,0.75,-0.539
14834,0.1405,1.194,0.73,-0.57
14843,0.1404,1.238,0.75,-0.539
14847,1.883,10.16,0.75,-0.539
14849,1.89,10.15,0.73,-0.57
15166,0.02591,14.68,1.01,0.012
15223,2.027,11.949,1.7,0.452
15232,1.64,9.96,1.12,0.182
16230,0.0447,2.0,1.11,-0.031
16233,0.0752,5.49,1.11,-0.031
16251,0.1172,6.98,1.11,-0.031
16884,0.0343,1.07,0.47,-1.385
16897,0.0451,1.25,0.47,-1.385
16915,0.0781,1.4,0.47,-1.385
16935,0.11,1.27,0.47,-1.385
16946,0.432,1.17,0.52,-1.26
16951,0.356,1.11,0.47,-1.385
17627,0.194,1.992,0.92,-0.092
18327,0.04537,1.91,0.94,-0.149
18349,0.093,3.07,0.94,-0.149
18359,0.3453,2.75,0.94,-0.149
18705,0.042717,1.639,1.9,0.715
18992,0.849,2.38,0.98,-0.102
19376,0.075,1.9,1.52,0.362
19383,0.099,3.2,1.52,0.362
19524,0.03482,2.169,0.49,-1.253
19544,0.06141,1.201,0.49,-1.253
19552,0.115,2.024,0.49,-1.253
19570,0.2012,2.007,0.49,-1.253
19707,0.08,2.4,1.07,0.064
19721,0.106,2.8,1.07,0.064
21288,0.21,2.15,1.0,0.061
21292,0.51,11.59,1.0,0.061
21303,0.33,2.68,1.0,0.061
21560,0.149,1.48,0.43,-1.569
21567,0.283,1.75,0.43,-1.569
22635,0.0677,1.74,1.82,0.556
22656,0.1189,3.2,1.82,0.556
22668,0.1662,5.35,1.82,0.556
22683,0.2138,4.02,1.82,0.556
22694,0.2535,4.46,1.82,0.556
23002,1.0896,8.564,1.16,0.173
23258,0.60347,8.16,1.03,-0.027
23543,0.1153,1.486,1.63,0.462
23554,0.1283,3.679,1.63,0.462
24399,0.05993,1.186,0.55,-1.194
24424,0.1743,1.336,0.55,-1.194
24526,0.0456,4.002,1.49,0.354
24789,0.1226,2.647,1.43,0.462
24791,0.1226,2.838,1.35,0.435
24809,0.038,1.88,0.79,-0.509
24973,0.0116,0.78,0.17,-2.62
24988,0.006,0.73,0.17,-2.62
24991,0.0154,0.57,0.17,-2.62
25005,1.219,4.16,0.76,-0.398
25013,0.082,12.89,1.24,0.24
25022,0.0396,13.45,0.99,-0.018
